M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,10,Rokhimova ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,11,Omonkulova ,-,OH,1,1,0,0,-,100,1,0,0,1,100,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,12,Begimkulova ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,13,Mirzaeva ,-,MB,0,0,0,0,-,-33.33,0,0,1,1,0,0,1,1,2,-50,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,1,1,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,Uzbekistan,"Hong Kong, China",2,3,25,16,25,26,9,23,25,21,25,15,5,14,Nurmatova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,2,3,33.33,1,1,2,0,0,0,2,2,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,1,H. N. CHEUNG,C,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,11,2,29,42,21.43,15,0,19,78.95,0,0,9,9,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,3,T. Y. FUNG ,-,S,7,4,2,1,-,3.23,4,0,5,9,44.44,2,6,3,11,-36.36,1,0,10,11,9.09,0,0,0,0,-,15,4,23,47.83,12,1,121,134,8.21
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,6,W. W. WONG ,-,S,1,0,0,1,-,0,0,0,0,0,-,0,0,2,2,0,1,1,3,5,0,0,0,0,0,-,5,2,8,37.5,1,0,34,35,2.86
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,7,S. Y. TANG ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,9,S. R. YU ,-,OH,5,4,0,1,-,15,4,2,9,15,13.33,0,0,0,0,-,1,0,4,5,20,0,0,1,1,0,5,1,10,40,0,0,1,1,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,10,K. S. LEE ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,26,3,33,69.7,0,0,14,14,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,12,W. L. PANG ,-,OH,16,12,4,0,-,12.5,12,7,17,36,13.89,4,1,4,9,33.33,0,1,10,11,-9.09,4,2,11,17,11.76,12,3,16,56.25,0,0,5,5,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,14,L. SHUM ,-,O,27,24,0,3,-,13.4,24,10,30,64,21.88,0,3,5,8,-37.5,3,1,21,25,8,4,2,5,11,18.18,21,2,29,65.52,0,0,5,5,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,15,Y. C. YU ,-,OH,12,12,0,0,-,5.48,12,6,30,48,12.5,0,2,3,5,-40,0,0,20,20,0,7,1,15,23,26.09,15,5,30,33.33,0,0,14,14,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,17,K. Y. FONG ,-,MB,11,9,1,1,-,-1.96,9,4,11,24,20.83,1,5,7,13,-30.77,1,3,10,14,-14.29,0,0,0,0,-,2,0,4,50,0,0,1,1,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,18,W. J. CHOW ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,21,N. Y. LEUNG ,-,MB,7,4,1,2,-,1.96,4,1,11,16,18.75,1,4,10,15,-20,2,1,17,20,5,0,0,0,0,-,9,2,15,46.67,0,0,4,4,0
Women,2026,32,2026/6/13,Final_9-10,Final_Round,"Candon City, Ilocos Sur",Philippines,"Hong Kong, China",Uzbekistan,3,2,23,25,21,28,15,25,16,25,26,9,ALL,27,H. L. FONG ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
