M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,ALL,37,30,4,3,-,30,21,37,88,4,11,6,21,3,17,37,57,40,2,25,67,15,3,41,24,0,65,89
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,1,15,12,3,0,-,12,8,16,36,3,4,3,10,0,4,19,23,14,0,10,24,4,1,19,9,0,27,36
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,2,11,8,1,2,-,8,8,6,22,1,5,0,6,2,7,11,20,15,0,5,20,3,0,6,8,0,15,23
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,3,11,10,0,1,-,10,5,15,30,0,2,3,5,1,6,7,14,11,2,10,23,8,2,16,7,0,23,30
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,ALL,68,53,11,4,-,53,17,42,112,11,24,18,53,4,15,71,90,34,5,47,86,37,15,65,13,2,105,120
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,1,17,14,2,1,-,14,3,10,27,2,6,5,13,1,2,20,23,6,2,13,21,10,4,19,5,1,23,29
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,2,17,12,3,2,-,12,3,10,25,3,6,5,14,2,5,16,23,8,1,12,21,8,5,17,2,0,27,29
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,3,19,14,4,1,-,14,5,11,30,4,6,3,13,1,5,18,24,9,2,11,22,11,2,16,2,1,29,32
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,4,15,13,2,0,-,13,6,11,30,2,6,5,13,0,3,17,20,11,0,11,22,8,4,13,4,0,26,30
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Chinese Taipei,Australia,3,1,25,25,23,25,-,23,22,25,19,-,ALL,69,59,5,5,-,59,17,38,114,5,19,15,39,5,11,81,97,36,4,35,75,41,16,69,18,1,94,113
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Chinese Taipei,Australia,3,1,25,25,23,25,-,23,22,25,19,-,1,21,17,2,2,-,17,3,11,31,2,4,4,10,2,4,19,25,13,1,7,21,12,5,21,5,0,27,32
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Chinese Taipei,Australia,3,1,25,25,23,25,-,23,22,25,19,-,2,17,16,0,1,-,16,5,8,29,0,5,4,9,1,3,20,24,6,2,10,18,11,4,18,7,0,20,27
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Chinese Taipei,Australia,3,1,25,25,23,25,-,23,22,25,19,-,3,14,10,2,2,-,10,6,10,26,2,6,4,12,2,2,20,24,8,1,10,19,7,2,12,3,0,22,25
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Chinese Taipei,Australia,3,1,25,25,23,25,-,23,22,25,19,-,4,17,16,1,0,-,16,3,9,28,1,4,3,8,0,2,22,24,9,0,8,17,11,5,18,3,1,25,29
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,Bahrain,0,3,19,21,16,-,-,25,25,25,-,-,ALL,35,24,9,2,-,24,20,31,75,9,15,8,32,2,9,47,58,25,1,28,54,23,16,50,13,1,63,77
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,Bahrain,0,3,19,21,16,-,-,25,25,25,-,-,1,10,7,3,0,-,7,5,7,19,3,6,2,11,0,2,18,20,6,0,11,17,5,8,15,3,0,17,20
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,Bahrain,0,3,19,21,16,-,-,25,25,25,-,-,2,15,9,4,2,-,9,7,12,28,4,6,3,13,2,5,14,21,10,1,8,19,8,2,14,6,1,21,28
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,Bahrain,0,3,19,21,16,-,-,25,25,25,-,-,3,10,8,2,0,-,8,8,12,28,2,3,3,8,0,2,15,17,9,0,9,18,10,6,21,4,0,25,29
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,Bahrain,New Zealand,3,0,25,25,25,-,-,19,21,16,-,-,ALL,49,41,7,1,-,41,10,22,73,7,8,10,25,1,19,53,73,32,2,15,49,29,8,51,22,0,55,77
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,Bahrain,New Zealand,3,0,25,25,25,-,-,19,21,16,-,-,1,17,16,1,0,-,16,4,7,27,1,3,2,6,0,7,17,24,14,0,4,18,9,2,14,10,0,18,28
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,Bahrain,New Zealand,3,0,25,25,25,-,-,19,21,16,-,-,2,13,10,2,1,-,10,4,8,22,2,2,6,10,1,6,18,25,8,2,6,16,9,4,18,7,0,17,24
