M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player NoNo,Player NamePlayer,C,PositionPos.,Total ABSABS,Attack PointsA Pts,Block PointsB Pts,Serve PointsS Pts,ErrorsErr,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,TouchesTouches,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,SuccessfulSuccessful,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,DigsDig,ErrorsErr,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,15,Arshia,-,S,0,0,0,0,-,-16.67,0,0,0,0,-,0,0,1,1,0,0,1,4,5,-20,0,0,0,0,-,1,1,2,0,13,0,7,20,65
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,17,Haji,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,19,Hossein,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,22,Haghparast,-,OH,1,1,0,0,-,0,1,1,0,2,0,0,0,0,0,-,0,0,1,1,0,1,0,1,2,50,2,0,2,100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,27,Mohammad,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,49,Morteza,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,66,Eisa,-,MB,2,2,0,0,-,0,2,0,0,2,100,0,2,1,3,-66.67,0,0,3,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,99,Nima,-,MB,1,1,0,0,-,-12.5,1,0,1,2,50,0,2,1,3,-66.67,0,0,3,3,0,0,0,0,0,-,0,0,1,0,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,1,Hulston,C,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,1,9,14,21.43,2,2,5,0,0,0,2,2,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,3,Placid,-,OH,9,8,1,0,-,-16.67,8,9,2,19,-5.26,1,0,1,2,50,0,5,4,9,-55.56,9,0,18,27,33.33,2,1,3,33.33,0,0,1,1,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,4,Westrupp,-,O,0,0,0,0,-,-50,0,1,2,3,-33.33,0,0,0,0,-,0,1,0,1,-100,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,5,Malcolm,-,MB,0,0,0,0,-,-25,0,0,1,1,0,0,0,0,0,-,0,1,2,3,-33.33,0,0,0,0,-,1,0,1,100,0,0,0,0,-
